ass.name,study,biome,latitude,longitude,abs_latitude,median_betaMPD,median_betaSESMPD,median_betaMNTD,median_betaSR,median_betaJacc,median_betaPhyloSor,median_betaCTI,SST_mean,betaSST_lm
100_606491,100,Temperate_Northern_Atlantic,51.14146339,-3.011323352,51.14146339,0.000196201,0.000443285,-0.000575079,0.001112285,0.014290475,0.01109226,0.00010712,11.76181798,0.364951227
112_2657775,112,Temperate_Northern_Atlantic,26.64669876,-93.35138337,26.64669876,0.001369669,0.001175972,0.005404604,0.001710303,0.006350986,0.015351782,0.007341241,25.76156746,0.616080096
112_2657778,112,Temperate_Northern_Atlantic,26.75750763,-93.08655062,26.75750763,0.001827533,0.001570724,0.008570896,0.000838425,0.001406151,0.033344622,0.008207084,25.72997515,0.555486781
112_2657779,112,Temperate_Northern_Atlantic,26.79431721,-92.99820003,26.79431721,0.000939351,0.001114643,0.005812236,0.003260382,0.007172672,0.034417282,0.005157766,25.72997515,0.555486781
112_2657780,112,Temperate_Northern_Atlantic,26.83106324,-92.90981309,26.83106324,0.001876867,0.001501397,0.007545697,0.000983392,-0.001913892,0.02062893,0.007855561,25.76801129,0.674526485
112_2657781,112,Temperate_Northern_Atlantic,26.86774559,-92.82138989,26.86774559,-0.000746697,0.000691424,0.003282432,0.004905497,0.002306329,0.030360859,0.003519036,25.73300747,0.641272882
112_2657782,112,Temperate_Northern_Atlantic,26.90436414,-92.7329305,26.90436414,0.000489586,0.000908463,0.00515071,0.001415702,0.006768352,0.023793178,0.006738831,25.6996478,1.183749407
112_2657783,112,Temperate_Northern_Atlantic,26.94091876,-92.64443504,26.94091876,-0.000116478,0.000748572,0.003805738,0.003168156,0.00606561,0.022800638,0.004510299,25.70346199,0.851476229
112_2657785,112,Temperate_Northern_Atlantic,27.01383577,-92.46733621,27.01383577,0.001556292,0.001450346,0.007945651,0.002306109,0.005513385,0.029538593,0.006681614,25.64403139,0.853463379
112_2657786,112,Temperate_Northern_Atlantic,27.05019792,-92.37873303,27.05019792,-0.000358191,0.000506495,0.005021192,0.003131476,0.005268202,0.025256917,0.005334408,25.73682952,1.268582989
112_2657787,112,Temperate_Northern_Atlantic,27.08649566,-92.29009414,27.08649566,-0.000556543,0.000427522,0.004784087,0.002402121,0.008376853,0.024618477,0.004671325,25.87916576,0.946181021
112_2657788,112,Temperate_Northern_Atlantic,27.12272889,-92.20141962,27.12272889,0.001245538,0.001366167,0.006456933,0.001761494,0.002209794,0.020563492,0.005981286,25.70830398,0.837753032
112_2657789,112,Temperate_Northern_Atlantic,27.15889747,-92.11270956,27.15889747,0.000114908,0.000926257,0.005376081,0.003063987,0.004352492,0.025542257,0.004825341,25.61775184,0.935327009
112_2657790,112,Temperate_Northern_Atlantic,27.1950013,-92.02396407,27.1950013,0.001168321,0.001289336,0.006967934,0.003098915,0.001920249,0.030855014,0.003179364,25.68236147,0.903265242
112_2657792,112,Temperate_Northern_Atlantic,27.26701422,-91.84636717,27.26701422,0.000621972,0.001116918,0.005112662,0.002804712,0.001701906,0.018966268,0.005945891,25.76193237,1.037798001
112_2657793,112,Temperate_Northern_Atlantic,27.30292308,-91.75751594,27.30292308,0.000831207,0.001108375,0.006628615,0.001591805,0.00165783,0.023284472,0.006269696,25.70396478,0.778658577
112_2657794,112,Temperate_Northern_Atlantic,27.33876671,-91.66862967,27.33876671,0.001341186,0.001167973,0.006577124,0.000178953,0.000686685,0.032694875,0.006772571,25.70396478,0.778658577
112_2657796,112,Temperate_Northern_Atlantic,27.41025784,-91.49075236,27.41025784,0.001634573,0.001718685,0.006780609,0.001400082,0.002480677,0.020694458,0.007098422,25.54993591,0.613753224
112_2657798,112,Temperate_Northern_Atlantic,27.48148667,-91.31273603,27.48148667,0.002189428,0.001805113,0.009378382,-0.000790156,0.005032086,0.028706107,0.009907852,25.57230602,0.537090554
112_2657802,112,Temperate_Northern_Atlantic,27.62315382,-90.95628953,27.62315382,0.000877371,0.001182884,0.006300247,0.003045399,-0.000392104,0.025366708,0.00717612,25.55706099,0.460773662
112_2657813,112,Temperate_Northern_Atlantic,28.00725099,-89.97326509,28.00725099,0.002879732,0.001708763,0.009173701,-0.002903484,0.003490993,0.026925051,0.008600595,25.46037336,0.409411338
112_2657835,112,Temperate_Northern_Atlantic,28.75081546,-87.99540519,28.75081546,0.000442738,0.00107888,0.00514955,0.00278042,0.002047731,0.021114461,0.006818364,25.01884104,1.123320358
112_2657926,112,Temperate_Northern_Atlantic,31.45779429,-79.67487578,31.45779429,-0.007894476,-0.005569076,-0.008178902,-0.018337868,-0.001418775,0.06143006,0.069405763,24.42827715,0.115638199
112_2658502,112,Temperate_Northern_Atlantic,26.47373252,-93.52851654,26.47373252,0.001756449,0.001203279,0.007629805,-0.001025733,0.007750707,0.024029262,0.008311488,25.80962133,0.570403086
112_2658504,112,Temperate_Northern_Atlantic,26.54788233,-93.35228226,26.54788233,0.001357776,0.001190645,0.007613254,8.63E-05,0.005487079,0.025271226,0.005664384,25.80217191,0.588125586
112_2658506,112,Temperate_Northern_Atlantic,26.62177934,-93.17590256,26.62177934,0.001951239,0.001761663,0.007999277,0.000664106,0.002522168,0.016019437,0.007656443,25.81096511,0.524365104
112_2658508,112,Temperate_Northern_Atlantic,26.69542256,-92.99937817,26.69542256,0.000483908,0.000857466,0.005921704,0.001613245,0.000331349,0.03356169,0.003001864,25.83725891,0.695827805
112_2658510,112,Temperate_Northern_Atlantic,26.76881101,-92.82270978,26.76881101,-0.001422959,-3.92E-06,0.002531668,0.002364728,0.001738008,0.0285645,0.003788088,25.75154289,0.679603409
112_2658511,112,Temperate_Northern_Atlantic,26.80540939,-92.73432182,26.80540939,0.000497714,0.000740659,0.00560574,0.001675,0.000715377,0.026223851,0.006820126,25.74832153,0.859837848
112_2658512,112,Temperate_Northern_Atlantic,26.84194372,-92.64589813,26.84194372,0.001557747,0.001260828,0.004683912,0.001562038,0.007172204,0.0225073,0.00730965,25.76265021,0.604262765
112_2658513,112,Temperate_Northern_Atlantic,26.87841388,-92.55743882,26.87841388,-6.13E-05,0.000695747,0.003862684,0.001692632,0.002223308,0.031348606,0.006162027,25.86008824,1.222122834
112_2658515,112,Temperate_Northern_Atlantic,26.95116118,-92.38041366,26.95116118,-0.000647495,0.000243009,0.00392175,0.001277951,0.020630162,0.026544277,0.003311095,25.66559099,0.788016218
112_2658516,112,Temperate_Northern_Atlantic,26.98743808,-92.29184801,26.98743808,0.000161086,0.000748126,0.003591504,0.004039783,0.002657142,0.02470558,0.003921244,25.75843802,0.935629478
112_2658517,112,Temperate_Northern_Atlantic,27.02365034,-92.2032471,27.02365034,0.000920806,0.000943611,0.005788973,0.000687447,0.001264114,0.025214729,0.009619084,25.79290048,1.267990727
112_2658518,112,Temperate_Northern_Atlantic,27.05979782,-92.11461103,27.05979782,0.000691443,0.001062505,0.004783333,0.002765394,0.007247327,0.019201882,0.005614872,25.72154291,0.868718442
112_2658519,112,Temperate_Northern_Atlantic,27.09588041,-92.0259399,27.09588041,0.001153275,0.001329675,0.006373986,0.002121592,0.000306864,0.03048805,0.008380465,25.79627981,0.865000427
112_2658520,112,Temperate_Northern_Atlantic,27.13189799,-91.9372338,27.13189799,9.44E-05,0.000742842,0.005633924,0.001887418,0.003993382,0.022936682,0.005087602,25.5936468,1.268422552
